Year,State,Fishery,Assessment,Landings
2022,CA,Trawl,2025,0.269471063
2023,CA,Trawl,2025,0.049895161
2024,CA,Trawl,2025,0.140160042
1916,OR,Trawl,2013,0
1917,OR,Trawl,2013,0
1918,OR,Trawl,2013,0
1919,OR,Trawl,2013,0
1920,OR,Trawl,2013,0
1921,OR,Trawl,2013,0
1922,OR,Trawl,2013,0
1923,OR,Trawl,2013,0
1924,OR,Trawl,2013,0
1925,OR,Trawl,2013,0
1926,OR,Trawl,2013,0
1927,OR,Trawl,2013,0
1928,OR,Trawl,2013,0
1929,OR,Trawl,2013,0
1930,OR,Trawl,2013,0
1931,OR,Trawl,2013,0
1932,OR,Trawl,2013,0
1933,OR,Trawl,2013,0
1934,OR,Trawl,2013,0
1935,OR,Trawl,2013,0
1936,OR,Trawl,2013,0.01
1937,OR,Trawl,2013,0.02
1938,OR,Trawl,2013,0
1939,OR,Trawl,2013,0.02
1940,OR,Trawl,2013,0.5
1941,OR,Trawl,2013,0.77
1942,OR,Trawl,2013,1.44
1943,OR,Trawl,2013,5.02
1944,OR,Trawl,2013,8.8
1945,OR,Trawl,2013,13.67
1946,OR,Trawl,2013,8.43
1947,OR,Trawl,2013,5.23
1948,OR,Trawl,2013,3.47
1949,OR,Trawl,2013,3.24
1950,OR,Trawl,2013,3.8
1951,OR,Trawl,2013,3.53
1952,OR,Trawl,2013,4.66
1953,OR,Trawl,2013,3.4
1954,OR,Trawl,2013,4.47
1955,OR,Trawl,2013,4.18
1956,OR,Trawl,2013,5.93
1957,OR,Trawl,2013,7.16
1958,OR,Trawl,2013,5.57
1959,OR,Trawl,2013,5.37
1960,OR,Trawl,2013,6.96
1961,OR,Trawl,2013,7.06
1962,OR,Trawl,2013,8.42
1963,OR,Trawl,2013,5.79
1964,OR,Trawl,2013,5.39
1965,OR,Trawl,2013,16.6
1966,OR,Trawl,2013,7.19
1967,OR,Trawl,2013,6.37
1968,OR,Trawl,2013,4.16
1969,OR,Trawl,2013,8.35
1970,OR,Trawl,2013,0.12
1971,OR,Trawl,2013,10.55
1972,OR,Trawl,2013,5.03
1973,OR,Trawl,2013,2.02
1974,OR,Trawl,2013,1.31
1975,OR,Trawl,2013,3.11
1976,OR,Trawl,2013,0
1977,OR,Trawl,2013,0
1978,OR,Trawl,2013,26.25
1979,OR,Trawl,2013,14.13
1980,OR,Trawl,2013,28.14
1981,OR,Trawl,2013,43.68
1982,OR,Trawl,2013,50.84
1983,OR,Trawl,2013,44.27
1984,OR,Trawl,2013,44.67
1985,OR,Trawl,2013,95.48
1986,OR,Trawl,2013,136.13
1987,OR,Trawl,2013,130.22
1988,OR,Trawl,2013,126.14
1989,OR,Trawl,2013,238.23
1990,OR,Trawl,2013,153.75
1991,OR,Trawl,2013,169.39
1992,OR,Trawl,2013,125.14
1993,OR,Trawl,2013,140.28
1994,OR,Trawl,2013,97.92
1995,OR,Trawl,2013,97.68
1996,OR,Trawl,2013,81.46
1997,OR,Trawl,2013,64.24
1998,OR,Trawl,2013,41.78
1999,OR,Trawl,2013,40.78
2000,OR,Trawl,2013,56.16
2001,OR,Trawl,2013,63.68
2002,OR,Trawl,2013,21.93
2003,OR,Trawl,2013,45.25
2004,OR,Trawl,2013,50.4
2005,OR,Trawl,2013,38.43
2006,OR,Trawl,2013,34.92
2007,OR,Trawl,2013,49.35
2008,OR,Trawl,2013,45.22
2009,OR,Trawl,2013,51.45
2010,OR,Trawl,2013,65.24
2011,OR,Trawl,2013,46.79
2012,OR,Trawl,2013,64.15
1916,OR,Trawl,2025,0
1917,OR,Trawl,2025,0
1918,OR,Trawl,2025,0
1919,OR,Trawl,2025,0
1920,OR,Trawl,2025,0
1921,OR,Trawl,2025,0
1922,OR,Trawl,2025,0
1923,OR,Trawl,2025,0
1924,OR,Trawl,2025,0
1925,OR,Trawl,2025,0
1926,OR,Trawl,2025,0
1927,OR,Trawl,2025,0
1928,OR,Trawl,2025,0
1929,OR,Trawl,2025,0
1930,OR,Trawl,2025,0
1931,OR,Trawl,2025,0
1932,OR,Trawl,2025,0.0044
1933,OR,Trawl,2025,0.0027
1934,OR,Trawl,2025,0.0001
1935,OR,Trawl,2025,0.0021
1936,OR,Trawl,2025,0.0078
1937,OR,Trawl,2025,0.0153
1938,OR,Trawl,2025,0
1939,OR,Trawl,2025,0.0217
1940,OR,Trawl,2025,0.4996
1941,OR,Trawl,2025,0.7692
1942,OR,Trawl,2025,1.4406
1943,OR,Trawl,2025,5.0168
1944,OR,Trawl,2025,8.8042
1945,OR,Trawl,2025,13.6696
1946,OR,Trawl,2025,8.4299
1947,OR,Trawl,2025,5.2291
1948,OR,Trawl,2025,3.467
1949,OR,Trawl,2025,3.2362
1950,OR,Trawl,2025,3.7959
1951,OR,Trawl,2025,3.5316
1952,OR,Trawl,2025,4.6591
1953,OR,Trawl,2025,3.4042
1954,OR,Trawl,2025,4.4736
1955,OR,Trawl,2025,4.182
1956,OR,Trawl,2025,5.9259
1957,OR,Trawl,2025,7.1579
1958,OR,Trawl,2025,5.5743
1959,OR,Trawl,2025,5.3701
1960,OR,Trawl,2025,6.9623
1961,OR,Trawl,2025,7.06
1962,OR,Trawl,2025,8.4177
1963,OR,Trawl,2025,5.792
1964,OR,Trawl,2025,5.5027
1965,OR,Trawl,2025,16.7603
1966,OR,Trawl,2025,7.3883
1967,OR,Trawl,2025,6.6631
1968,OR,Trawl,2025,4.4793
1969,OR,Trawl,2025,8.6727
1970,OR,Trawl,2025,0.4868
1971,OR,Trawl,2025,10.8684
1972,OR,Trawl,2025,5.6196
1973,OR,Trawl,2025,2.6336
1974,OR,Trawl,2025,1.9345
1975,OR,Trawl,2025,3.5489
1976,OR,Trawl,2025,0.4768
1977,OR,Trawl,2025,0.4293
1978,OR,Trawl,2025,27.6395
1979,OR,Trawl,2025,15.88
1980,OR,Trawl,2025,29.843
1981,OR,Trawl,2025,44.9783
1982,OR,Trawl,2025,51.9528
1983,OR,Trawl,2025,44.2713
1984,OR,Trawl,2025,44.9286
1985,OR,Trawl,2025,95.8038
1986,OR,Trawl,2025,136.7589
1987,OR,Trawl,2025,131.8115
1988,OR,Trawl,2025,143.655
1989,OR,Trawl,2025,240.1173
1990,OR,Trawl,2025,154.2554
1991,OR,Trawl,2025,213.0411
1992,OR,Trawl,2025,155.2334
1993,OR,Trawl,2025,163.5708
1994,OR,Trawl,2025,114.6172
1995,OR,Trawl,2025,112.9187
1996,OR,Trawl,2025,96.8763
1997,OR,Trawl,2025,70.6753
1998,OR,Trawl,2025,88.732
1999,OR,Trawl,2025,59.9007
2000,OR,Trawl,2025,57.3521
2001,OR,Trawl,2025,63.7401
2002,OR,Trawl,2025,21.9453
2003,OR,Trawl,2025,47.1625
2004,OR,Trawl,2025,50.5565
2005,OR,Trawl,2025,38.4493
2006,OR,Trawl,2025,34.9771
2007,OR,Trawl,2025,49.5354
2008,OR,Trawl,2025,45.2955
2009,OR,Trawl,2025,51.4524
2010,OR,Trawl,2025,65.2472
2011,OR,Trawl,2025,45.7493
2012,OR,Trawl,2025,74.1851
2013,OR,Trawl,2025,56.9467
2014,OR,Trawl,2025,28.4941
2015,OR,Trawl,2025,41.5162
2016,OR,Trawl,2025,39.2144
2017,OR,Trawl,2025,20.757
2018,OR,Trawl,2025,16.0131
2019,OR,Trawl,2025,25.1267
2020,OR,Trawl,2025,22.2638
2021,OR,Trawl,2025,19.601
2022,OR,Trawl,2025,17.4738
2023,OR,Trawl,2025,25.8828
2024,OR,Trawl,2025,48.33789234
1916,WA,Trawl,2013,0
1917,WA,Trawl,2013,0
1918,WA,Trawl,2013,0
1919,WA,Trawl,2013,0
1920,WA,Trawl,2013,0
1921,WA,Trawl,2013,0
1922,WA,Trawl,2013,0
1923,WA,Trawl,2013,0
1924,WA,Trawl,2013,0
1925,WA,Trawl,2013,0
1926,WA,Trawl,2013,0
1927,WA,Trawl,2013,0
1928,WA,Trawl,2013,0
1929,WA,Trawl,2013,0
1930,WA,Trawl,2013,0
1931,WA,Trawl,2013,0
1932,WA,Trawl,2013,0
1933,WA,Trawl,2013,0
1934,WA,Trawl,2013,0.01
1935,WA,Trawl,2013,0.29
1936,WA,Trawl,2013,0.48
1937,WA,Trawl,2013,0.4
1938,WA,Trawl,2013,0.46
1939,WA,Trawl,2013,0.43
1940,WA,Trawl,2013,0.42
1941,WA,Trawl,2013,0.62
1942,WA,Trawl,2013,0.86
1943,WA,Trawl,2013,2.37
1944,WA,Trawl,2013,3.35
1945,WA,Trawl,2013,6.62
1946,WA,Trawl,2013,2.4
1947,WA,Trawl,2013,1.25
1948,WA,Trawl,2013,2.04
1949,WA,Trawl,2013,2.38
1950,WA,Trawl,2013,2.28
1951,WA,Trawl,2013,1.87
1952,WA,Trawl,2013,2.24
1953,WA,Trawl,2013,1.94
1954,WA,Trawl,2013,3.97
1955,WA,Trawl,2013,3.43
1956,WA,Trawl,2013,3.29
1957,WA,Trawl,2013,4.46
1958,WA,Trawl,2013,5.02
1959,WA,Trawl,2013,2.74
1960,WA,Trawl,2013,4.85
1961,WA,Trawl,2013,6.14
1962,WA,Trawl,2013,5.81
1963,WA,Trawl,2013,4.74
1964,WA,Trawl,2013,5.93
1965,WA,Trawl,2013,2.18
1966,WA,Trawl,2013,15.38
1967,WA,Trawl,2013,7.02
1968,WA,Trawl,2013,23.72
1969,WA,Trawl,2013,1.1
1970,WA,Trawl,2013,0.1
1971,WA,Trawl,2013,3.2
1972,WA,Trawl,2013,0
1973,WA,Trawl,2013,2.8
1974,WA,Trawl,2013,0
1975,WA,Trawl,2013,2
1976,WA,Trawl,2013,6.6
1977,WA,Trawl,2013,0.3
1978,WA,Trawl,2013,5.7
1979,WA,Trawl,2013,96.6
1980,WA,Trawl,2013,28.3
1981,WA,Trawl,2013,15.87
1982,WA,Trawl,2013,42.49
1983,WA,Trawl,2013,10.27
1984,WA,Trawl,2013,28.49
1985,WA,Trawl,2013,40.93
1986,WA,Trawl,2013,16.32
1987,WA,Trawl,2013,64.92
1988,WA,Trawl,2013,24.87
1989,WA,Trawl,2013,44.2
1990,WA,Trawl,2013,10.17
1991,WA,Trawl,2013,18.67
1992,WA,Trawl,2013,26.8
1993,WA,Trawl,2013,2.46
1994,WA,Trawl,2013,5.32
1995,WA,Trawl,2013,42.85
1996,WA,Trawl,2013,24.8
1997,WA,Trawl,2013,33.54
1998,WA,Trawl,2013,17.29
1999,WA,Trawl,2013,18.69
2000,WA,Trawl,2013,23.46
2001,WA,Trawl,2013,11.53
2002,WA,Trawl,2013,8.57
2003,WA,Trawl,2013,9.96
2004,WA,Trawl,2013,8.6
2005,WA,Trawl,2013,7.15
2006,WA,Trawl,2013,12.72
2007,WA,Trawl,2013,12.42
2008,WA,Trawl,2013,9.37
2009,WA,Trawl,2013,17.16
2010,WA,Trawl,2013,18.35
2011,WA,Trawl,2013,10.32
2012,WA,Trawl,2013,15.66
1916,WA,Trawl,2025,0
1917,WA,Trawl,2025,0
1918,WA,Trawl,2025,0
1919,WA,Trawl,2025,0
1920,WA,Trawl,2025,0
1921,WA,Trawl,2025,0
1922,WA,Trawl,2025,0
1923,WA,Trawl,2025,0
1924,WA,Trawl,2025,0
1925,WA,Trawl,2025,0
1926,WA,Trawl,2025,0
1927,WA,Trawl,2025,0
1928,WA,Trawl,2025,0
1929,WA,Trawl,2025,0
1930,WA,Trawl,2025,0
1931,WA,Trawl,2025,0
1932,WA,Trawl,2025,0
1933,WA,Trawl,2025,0
1934,WA,Trawl,2025,0.01
1935,WA,Trawl,2025,0.29
1936,WA,Trawl,2025,0.48
1937,WA,Trawl,2025,0.4
1938,WA,Trawl,2025,0.46
1939,WA,Trawl,2025,0.43
1940,WA,Trawl,2025,0.42
1941,WA,Trawl,2025,0.62
1942,WA,Trawl,2025,0.86
1943,WA,Trawl,2025,2.37
1944,WA,Trawl,2025,3.35
1945,WA,Trawl,2025,6.62
1946,WA,Trawl,2025,2.4
1947,WA,Trawl,2025,1.25
1948,WA,Trawl,2025,2.04
1949,WA,Trawl,2025,2.38
1950,WA,Trawl,2025,2.28
1951,WA,Trawl,2025,1.87
1952,WA,Trawl,2025,2.24
1953,WA,Trawl,2025,1.94
1954,WA,Trawl,2025,3.97
1955,WA,Trawl,2025,3.43
1956,WA,Trawl,2025,3.29
1957,WA,Trawl,2025,4.46
1958,WA,Trawl,2025,5.02
1959,WA,Trawl,2025,2.74
1960,WA,Trawl,2025,4.85
1961,WA,Trawl,2025,6.14
1962,WA,Trawl,2025,5.81
1963,WA,Trawl,2025,4.74
1964,WA,Trawl,2025,5.93
1965,WA,Trawl,2025,2.18
1966,WA,Trawl,2025,15.38
1967,WA,Trawl,2025,7.02
1968,WA,Trawl,2025,23.72
1969,WA,Trawl,2025,1.1
1970,WA,Trawl,2025,0.1
1971,WA,Trawl,2025,3.2
1972,WA,Trawl,2025,0
1973,WA,Trawl,2025,2.8
1974,WA,Trawl,2025,0
1975,WA,Trawl,2025,2
1976,WA,Trawl,2025,6.6
1977,WA,Trawl,2025,0.3
1978,WA,Trawl,2025,5.7
1979,WA,Trawl,2025,96.6
1980,WA,Trawl,2025,28.3
1981,WA,Trawl,2025,15.87145089
1982,WA,Trawl,2025,42.49285268
1983,WA,Trawl,2025,10.26701639
1984,WA,Trawl,2025,28.48726839
1985,WA,Trawl,2025,40.93095683
1986,WA,Trawl,2025,16.32213103
1987,WA,Trawl,2025,64.91924932
1988,WA,Trawl,2025,24.8703564
1989,WA,Trawl,2025,44.20366708
1990,WA,Trawl,2025,10.17273095
1991,WA,Trawl,2025,18.67211187
1992,WA,Trawl,2025,26.79435183
1993,WA,Trawl,2025,2.457626149
1994,WA,Trawl,2025,5.316287461
1995,WA,Trawl,2025,42.85401961
1996,WA,Trawl,2025,24.79427533
1997,WA,Trawl,2025,33.53951496
1998,WA,Trawl,2025,17.22231545
1999,WA,Trawl,2025,18.69142327
2000,WA,Trawl,2025,23.42181883
2001,WA,Trawl,2025,11.52963263
2002,WA,Trawl,2025,8.566995743
2003,WA,Trawl,2025,9.957924681
2004,WA,Trawl,2025,8.598449017
2005,WA,Trawl,2025,7.144736408
2006,WA,Trawl,2025,12.7182699
2007,WA,Trawl,2025,12.17215175
2008,WA,Trawl,2025,9.471462629
2009,WA,Trawl,2025,16.73350317
2010,WA,Trawl,2025,18.73945511
2011,WA,Trawl,2025,11.17231268
2012,WA,Trawl,2025,21.4690526
2013,WA,Trawl,2025,8.560995432
2014,WA,Trawl,2025,8.891580184
2015,WA,Trawl,2025,8.12031993
2016,WA,Trawl,2025,6.935945799
2017,WA,Trawl,2025,3.393193253
2018,WA,Trawl,2025,2.478480013
2019,WA,Trawl,2025,5.564728897
2020,WA,Trawl,2025,16.41832923
2021,WA,Trawl,2025,11.74024868
2022,WA,Trawl,2025,12.42095672
2023,WA,Trawl,2025,13.57654894
2024,WA,Trawl,2025,18.99611272
1916,All,Trawl,2013,0
1917,All,Trawl,2013,0
1918,All,Trawl,2013,0
1919,All,Trawl,2013,0
1920,All,Trawl,2013,0
1921,All,Trawl,2013,0
1922,All,Trawl,2013,0
1923,All,Trawl,2013,0
1924,All,Trawl,2013,0
1925,All,Trawl,2013,0
1926,All,Trawl,2013,0
1927,All,Trawl,2013,0
1928,All,Trawl,2013,0
1929,All,Trawl,2013,0
1930,All,Trawl,2013,0
1931,All,Trawl,2013,0
1932,All,Trawl,2013,0.01
1933,All,Trawl,2013,0.01
1934,All,Trawl,2013,0.01
1935,All,Trawl,2013,0.29
1936,All,Trawl,2013,0.49
1937,All,Trawl,2013,0.41
1938,All,Trawl,2013,0.46
1939,All,Trawl,2013,0.45
1940,All,Trawl,2013,0.92
1941,All,Trawl,2013,1.39
1942,All,Trawl,2013,2.31
1943,All,Trawl,2013,7.39
1944,All,Trawl,2013,12.16
1945,All,Trawl,2013,20.29
1946,All,Trawl,2013,10.83
1947,All,Trawl,2013,6.48
1948,All,Trawl,2013,5.5
1949,All,Trawl,2013,5.62
1950,All,Trawl,2013,6.08
1951,All,Trawl,2013,5.4
1952,All,Trawl,2013,6.9
1953,All,Trawl,2013,5.35
1954,All,Trawl,2013,8.44
1955,All,Trawl,2013,7.62
1956,All,Trawl,2013,9.22
1957,All,Trawl,2013,11.62
1958,All,Trawl,2013,10.6
1959,All,Trawl,2013,8.11
1960,All,Trawl,2013,11.81
1961,All,Trawl,2013,13.2
1962,All,Trawl,2013,14.23
1963,All,Trawl,2013,10.53
1964,All,Trawl,2013,11.32
1965,All,Trawl,2013,18.78
1966,All,Trawl,2013,120.56
1967,All,Trawl,2013,98.39
1968,All,Trawl,2013,74.88
1969,All,Trawl,2013,24.45
1970,All,Trawl,2013,17.22
1971,All,Trawl,2013,62.75
1972,All,Trawl,2013,73.03
1973,All,Trawl,2013,67.82
1974,All,Trawl,2013,46.31
1975,All,Trawl,2013,32.11
1976,All,Trawl,2013,18.6
1977,All,Trawl,2013,0.3
1978,All,Trawl,2013,31.95
1979,All,Trawl,2013,110.73
1980,All,Trawl,2013,56.44
1981,All,Trawl,2013,59.55
1982,All,Trawl,2013,93.33
1983,All,Trawl,2013,54.53
1984,All,Trawl,2013,73.15
1985,All,Trawl,2013,136.46
1986,All,Trawl,2013,152.56
1987,All,Trawl,2013,196.14
1988,All,Trawl,2013,151.01
1989,All,Trawl,2013,282.93
1990,All,Trawl,2013,166.33
1991,All,Trawl,2013,189.34
1992,All,Trawl,2013,153.68
1993,All,Trawl,2013,142.74
1994,All,Trawl,2013,109.79
1995,All,Trawl,2013,145.52
1996,All,Trawl,2013,108.15
1997,All,Trawl,2013,98
1998,All,Trawl,2013,60.87
1999,All,Trawl,2013,60.46
2000,All,Trawl,2013,81.98
2001,All,Trawl,2013,75.59
2002,All,Trawl,2013,30.9
2003,All,Trawl,2013,55.89
2004,All,Trawl,2013,59.07
2005,All,Trawl,2013,45.63
2006,All,Trawl,2013,47.72
2007,All,Trawl,2013,62.33
2008,All,Trawl,2013,54.98
2009,All,Trawl,2013,68.9
2010,All,Trawl,2013,83.76
2011,All,Trawl,2013,57.3
2012,All,Trawl,2013,79.81
1916,All,Trawl,2025,0
1917,All,Trawl,2025,0
1918,All,Trawl,2025,0
1919,All,Trawl,2025,0
1920,All,Trawl,2025,0
1921,All,Trawl,2025,0
1922,All,Trawl,2025,0
1923,All,Trawl,2025,0
1924,All,Trawl,2025,0
1925,All,Trawl,2025,0
1926,All,Trawl,2025,0
1927,All,Trawl,2025,0
1928,All,Trawl,2025,0
1929,All,Trawl,2025,0
1930,All,Trawl,2025,0
1931,All,Trawl,2025,0
1932,All,Trawl,2025,0.0044
1933,All,Trawl,2025,0.0027
1934,All,Trawl,2025,0.0101
1935,All,Trawl,2025,0.2921
1936,All,Trawl,2025,0.4878
1937,All,Trawl,2025,0.4153
1938,All,Trawl,2025,0.46
1939,All,Trawl,2025,0.4517
1940,All,Trawl,2025,0.9196
1941,All,Trawl,2025,1.3892
1942,All,Trawl,2025,2.3006
1943,All,Trawl,2025,7.3868
1944,All,Trawl,2025,12.1542
1945,All,Trawl,2025,20.2896
1946,All,Trawl,2025,10.8299
1947,All,Trawl,2025,6.4791
1948,All,Trawl,2025,5.507
1949,All,Trawl,2025,5.6162
1950,All,Trawl,2025,6.0759
1951,All,Trawl,2025,5.4016
1952,All,Trawl,2025,6.8991
1953,All,Trawl,2025,5.3442
1954,All,Trawl,2025,8.4436
1955,All,Trawl,2025,7.612
1956,All,Trawl,2025,9.2159
1957,All,Trawl,2025,11.6179
1958,All,Trawl,2025,10.5943
1959,All,Trawl,2025,8.1101
1960,All,Trawl,2025,11.8123
1961,All,Trawl,2025,13.2
1962,All,Trawl,2025,14.2277
1963,All,Trawl,2025,10.532
1964,All,Trawl,2025,11.4327
1965,All,Trawl,2025,18.9403
1966,All,Trawl,2025,120.7683
1967,All,Trawl,2025,98.6831
1968,All,Trawl,2025,75.1993
1969,All,Trawl,2025,24.7727
1970,All,Trawl,2025,17.5868
1971,All,Trawl,2025,63.0684
1972,All,Trawl,2025,73.6196
1973,All,Trawl,2025,68.4336
1974,All,Trawl,2025,46.9345
1975,All,Trawl,2025,32.5489
1976,All,Trawl,2025,19.0768
1977,All,Trawl,2025,0.7293
1978,All,Trawl,2025,33.3395
1979,All,Trawl,2025,112.48
1980,All,Trawl,2025,58.143
1981,All,Trawl,2025,60.84975089
1982,All,Trawl,2025,94.44565268
1983,All,Trawl,2025,54.53831639
1984,All,Trawl,2025,73.41586839
1985,All,Trawl,2025,136.7778477
1986,All,Trawl,2025,153.191556
1987,All,Trawl,2025,197.6901943
1988,All,Trawl,2025,168.5253564
1989,All,Trawl,2025,284.8162431
1990,All,Trawl,2025,166.8524684
1991,All,Trawl,2025,232.9571384
1992,All,Trawl,2025,183.7671813
1993,All,Trawl,2025,166.0284261
1994,All,Trawl,2025,126.4477856
1995,All,Trawl,2025,160.5336181
1996,All,Trawl,2025,123.4757722
